GENERO ,MARCA,CATEGORIA,CODIGO NUMERICO,NOMBRE,COLOR,TALLES,,,,,,,,,,,,,TOTAL,WEB,FOTO,$COSTO,$PUBLICO,$PAGINA ,%INFLACION 
MUJER,CAVATINI,MOCASIN MUJER ,40-3305,SIN NOMBRE,PIEDRA,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN MUJER ,50-2012,SIN NOMBRE,BORDO,,,,1,,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,MOCASIN MUJER ,50-2011,SIN NOMBRE,CHOCOLATE,,,,,1,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,MOCASIN MUJER ,40-3304,SIN NOMBRE,PIEDRA,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,50-1718,SIN NOMBRE,CHOCOLATE,,,,,,,,1,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,50-1711,SIN NOMBRE,ANTILOPE,,,,,,,,1,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,40-2406,SIN NOMBRE,HABANO,,,1,,,,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,40-1360,SIN NOMBRE,NEGRO,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,40-2041,SIN NOMBRE,HABANO,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,40-2318,SIN NOMBRE,PIEDRA,,,1,,1,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,40-3010,SIN NOMBRE,ROCA,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,40-2004,SIN NOMBRE,TABACO,,,,2,,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,50-1566,SIN NOMBRE,CIGARRO,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,50-1719,SIN NOMBRE,CIGARRO,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,MOCASIN SUPERCONFORT,50-1717,SIN NOMBRE,CIGARRO,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3373,HELGA,NEGRO,,,,,1,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3241,SIN NOMBRE,NEGRO,,,,,1,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3657,SIN NOMBRE,NEGRO,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3667,SIN NOMBRE,OSTRA,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3650,SIN NOMBRE,NEGRO,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3023,SIN NOMBRE,NEGRO,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-1979,SIN NOMBRE,CHOCOLATE,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1984,SIN NOMBRE,VISON,,,1,,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3556,SIN NOMBRE,NEGRO,,,,1,,,1,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-4613,SIN NOMBRE,ANTILOPE,,1,1,1,1,1,,,,,,,,5,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-4612,PIA,ANTILOPE,,,,,2,1,1,,,,,,,4,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-4612,PIA,NEGRO,,,,2,2,2,2,,,,,,,8,SI,SI,,,,
MUJER,CAVATINI,BOTAS,40-1277,SIN NOMBRE,VISON,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS NUEVAS,42-1414,HADIN,VISON,,,1,1,2,1,1,,,,,,,6,SI,SI,,,,
MUJER,CAVATINI,BOTAS NUEVAS,42-1414,HADIN,CARAMELO,,,1,2,2,2,,,,,,,,7,SI,SI,,,,
MUJER,CAVATINI,BOTAS NUEVAS,42-4343,SIN NOMBRE,ANTILOPE,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS NUEVAS,42-2552,SIN NOMBRE,SUELA,,,,1,1,1,,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,BOTAS NUEVAS,42-3215,SUNI,CASTAÑO,,,,1,,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1587,SAMY,NEGRO,,,,,,,1,1,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1565,SANSI,VISON,,,1,0,,0,,1,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1599,SIN NOMBRE,VISON,,,,,,,,1,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-1376,SIN NOMBRE,CHOCOLATE,,,,,,,1,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1635,PILI,CAPUCCINO,,,,,1,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1387,SIN NOMBRE,ANTILOPE,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1598,CELINE,NEGRO,,,1,,0,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1565,SANSI,NEGRO,,,,,1,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1633,CESI,VISON,,,,1,1,,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-4564,SIN NOMBRE,ANTILOPE,,,,,2,,1,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-1962,SIN NOMBRE,CHOCOLATE,,,,1,,,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,52-4554,SIN NOMBRE,SUELA,,,,,,1,,,,,,,,1,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-1419,HELI,ACERO,,,,,1,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-1419,HELI,VISON,,,,,1,1,,,,,,,,2,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3187,CARLOT,NEGRO,,,,1,,1,1,,,,,,,3,SI,SI,,,,
MUJER,CAVATINI,BOTAS,42-3187,CARLOT,CASTAÑO,,,,1,1,1,1,1,,,,,,5,SI,SI,,,,
